codigo,glosa,pais,valor,anio,variable
,,Chile,,2016,consumo_energetico
C,Industrias manufactureras,Chile,33425,2016,consumo_energetico
C10,Elaboración de productos alimenticios,Chile,9954,2016,consumo_energetico
C11,Elaboración de bebidas,Chile,1044,2016,consumo_energetico
C12,Elaboración de productos de tabaco,Chile,-,2016,consumo_energetico
C13,Fabricación de productos textiles,Chile,258,2016,consumo_energetico
C14,Fabricación de prendas de vestir,Chile,75,2016,consumo_energetico
C15,Fabricación de productos de cuero y productos conexos,Chile,22,2016,consumo_energetico
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",Chile,4673,2016,consumo_energetico
C17,Fabricación de papel y de productos de papel,Chile,4331,2016,consumo_energetico
C18,Impresión y reproducción de grabaciones,Chile,300,2016,consumo_energetico
C19,Fabricación de coque y productos de la refinación del petróleo,Chile,-,2016,consumo_energetico
C20,Fabricación de sustancias y productos químicos,Chile,2551,2016,consumo_energetico
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",Chile,205,2016,consumo_energetico
C22,Fabricación de productos de caucho y de plástico,Chile,1814,2016,consumo_energetico
C23,Fabricación de otros productos minerales no metálicos,Chile,2507,2016,consumo_energetico
C24,Fabricación de metales comunes,Chile,285,2016,consumo_energetico
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Chile,2287,2016,consumo_energetico
C26,"Fabricación de productos de informática, de electrónica y de óptica",Chile,14,2016,consumo_energetico
C27,Fabricación de equipo eléctrico,Chile,220,2016,consumo_energetico
C28,Fabricación de maquinaria y equipo n.c.p.,Chile,1289,2016,consumo_energetico
C29,"Fabricación de vehículos automotores, remolques y semirremolques",Chile,14,2016,consumo_energetico
C30,Fabricación de otro equipo de transporte,Chile,11,2016,consumo_energetico
C31,Fabricación de muebles,Chile,96,2016,consumo_energetico
C32,Otras industrias manufactureras,Chile,87,2016,consumo_energetico
C33,Reparación e instalación de maquinaria y equipo,Chile,152,2016,consumo_energetico
CXX,Otras empresas/establecimientos anonimizados,Chile,1226,2016,consumo_energetico
,,Colombia,,2016,consumo_energetico
C,Industrias manufactureras,Colombia,48750,2016,consumo_energetico
C10,Elaboración de productos alimenticios,Colombia,9114,2016,consumo_energetico
C11,Elaboración de bebidas,Colombia,1543,2016,consumo_energetico
C12,Elaboración de productos de tabaco,Colombia,-,2016,consumo_energetico
C13,Fabricación de productos textiles,Colombia,2022,2016,consumo_energetico
C14,Fabricación de prendas de vestir,Colombia,545,2016,consumo_energetico
C15,Fabricación de productos de cuero y productos conexos,Colombia,298,2016,consumo_energetico
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",Colombia,371,2016,consumo_energetico
C17,Fabricación de papel y de productos de papel,Colombia,4484,2016,consumo_energetico
C18,Impresión y reproducción de grabaciones,Colombia,361,2016,consumo_energetico
C19,Fabricación de coque y productos de la refinación del petróleo,Colombia,2117,2016,consumo_energetico
C20,Fabricación de sustancias y productos químicos,Colombia,5260,2016,consumo_energetico
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",Colombia,557,2016,consumo_energetico
C22,Fabricación de productos de caucho y de plástico,Colombia,3609,2016,consumo_energetico
C23,Fabricación de otros productos minerales no metálicos,Colombia,6606,2016,consumo_energetico
C24,Fabricación de metales comunes,Colombia,4280,2016,consumo_energetico
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Colombia,734,2016,consumo_energetico
C26,"Fabricación de productos de informática, de electrónica y de óptica",Colombia,3,2016,consumo_energetico
C27,Fabricación de equipo eléctrico,Colombia,565,2016,consumo_energetico
C28,Fabricación de maquinaria y equipo n.c.p.,Colombia,243,2016,consumo_energetico
C29,"Fabricación de vehículos automotores, remolques y semirremolques",Colombia,260,2016,consumo_energetico
C30,Fabricación de otro equipo de transporte,Colombia,69,2016,consumo_energetico
C31,Fabricación de muebles,Colombia,242,2016,consumo_energetico
C32,Otras industrias manufactureras,Colombia,5458,2016,consumo_energetico
C33,Reparación e instalación de maquinaria y equipo,Colombia,-,2016,consumo_energetico
CXX,Otras empresas/establecimientos anonimizados,Colombia,-,2016,consumo_energetico
,,Ecuador,,2016,consumo_energetico
C,Industrias manufactureras,Ecuador,27693,2016,consumo_energetico
C10,Elaboración de productos alimenticios,Ecuador,12821,2016,consumo_energetico
C11,Elaboración de bebidas,Ecuador,657,2016,consumo_energetico
C12,Elaboración de productos de tabaco,Ecuador,0,2016,consumo_energetico
C13,Fabricación de productos textiles,Ecuador,705,2016,consumo_energetico
C14,Fabricación de prendas de vestir,Ecuador,192,2016,consumo_energetico
C15,Fabricación de productos de cuero y productos conexos,Ecuador,39,2016,consumo_energetico
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",Ecuador,155,2016,consumo_energetico
C17,Fabricación de papel y de productos de papel,Ecuador,1654,2016,consumo_energetico
