codigo,glosa,pais,value,anio,variable
,,Chile,,2016,consumo_energetico
0.0,C,Chile,33425,2016,consumo_energetico
1.0,C10,Chile,9954,2016,consumo_energetico
2.0,C11,Chile,1044,2016,consumo_energetico
3.0,C12,Chile,-,2016,consumo_energetico
4.0,C13,Chile,258,2016,consumo_energetico
5.0,C14,Chile,75,2016,consumo_energetico
6.0,C15,Chile,22,2016,consumo_energetico
7.0,C16,Chile,4673,2016,consumo_energetico
8.0,C17,Chile,4331,2016,consumo_energetico
9.0,C18,Chile,300,2016,consumo_energetico
10.0,C19,Chile,-,2016,consumo_energetico
11.0,C20,Chile,2551,2016,consumo_energetico
12.0,C21,Chile,205,2016,consumo_energetico
13.0,C22,Chile,1814,2016,consumo_energetico
14.0,C23,Chile,2507,2016,consumo_energetico
15.0,C24,Chile,285,2016,consumo_energetico
16.0,C25,Chile,2287,2016,consumo_energetico
17.0,C26,Chile,14,2016,consumo_energetico
18.0,C27,Chile,220,2016,consumo_energetico
19.0,C28,Chile,1289,2016,consumo_energetico
20.0,C29,Chile,14,2016,consumo_energetico
21.0,C30,Chile,11,2016,consumo_energetico
22.0,C31,Chile,96,2016,consumo_energetico
23.0,C32,Chile,87,2016,consumo_energetico
24.0,C33,Chile,152,2016,consumo_energetico
25.0,CXX,Chile,1226,2016,consumo_energetico
,,Colombia,,2016,consumo_energetico
0.0,C,Colombia,48750,2016,consumo_energetico
1.0,C10,Colombia,9114,2016,consumo_energetico
2.0,C11,Colombia,1543,2016,consumo_energetico
3.0,C12,Colombia,-,2016,consumo_energetico
4.0,C13,Colombia,2022,2016,consumo_energetico
5.0,C14,Colombia,545,2016,consumo_energetico
6.0,C15,Colombia,298,2016,consumo_energetico
7.0,C16,Colombia,371,2016,consumo_energetico
8.0,C17,Colombia,4484,2016,consumo_energetico
9.0,C18,Colombia,361,2016,consumo_energetico
10.0,C19,Colombia,2117,2016,consumo_energetico
11.0,C20,Colombia,5260,2016,consumo_energetico
12.0,C21,Colombia,557,2016,consumo_energetico
