codigo,glosa,pais,valor,anio,variable
,,Brasil,,2016,consumo_intermedio_por_actividad_economica
C,Industrias manufactureras,Brasil,492983.58,2016,consumo_intermedio_por_actividad_economica
C10,Elaboración de productos alimenticios,Brasil,132032.41,2016,consumo_intermedio_por_actividad_economica
C11,Elaboración de bebidas,Brasil,15502.74,2016,consumo_intermedio_por_actividad_economica
C12,Elaboración de productos de tabaco,Brasil,2544.17,2016,consumo_intermedio_por_actividad_economica
C13,Fabricación de productos textiles,Brasil,7550.45,2016,consumo_intermedio_por_actividad_economica
C14,Fabricación de prendas de vestir,Brasil,6409.67,2016,consumo_intermedio_por_actividad_economica
C15,Fabricación de productos de cuero y productos conexos,Brasil,6740.74,2016,consumo_intermedio_por_actividad_economica
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",Brasil,3596.46,2016,consumo_intermedio_por_actividad_economica
C17,Fabricación de papel y de productos de papel,Brasil,16110.53,2016,consumo_intermedio_por_actividad_economica
C18,Impresión y reproducción de grabaciones,Brasil,2075.29,2016,consumo_intermedio_por_actividad_economica
C19,Fabricación de coque y productos de la refinación del petróleo,Brasil,40745.64,2016,consumo_intermedio_por_actividad_economica
C20,Fabricación de sustancias y productos químicos,Brasil,58811.24,2016,consumo_intermedio_por_actividad_economica
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",Brasil,8859.41,2016,consumo_intermedio_por_actividad_economica
C22,Fabricación de productos de caucho y de plástico,Brasil,18498.21,2016,consumo_intermedio_por_actividad_economica
C23,Fabricación de otros productos minerales no metálicos,Brasil,13827.2,2016,consumo_intermedio_por_actividad_economica
C24,Fabricación de metales comunes,Brasil,33151.98,2016,consumo_intermedio_por_actividad_economica
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Brasil,12383.62,2016,consumo_intermedio_por_actividad_economica
C26,"Fabricación de productos de informática, de electrónica y de óptica",Brasil,16498.34,2016,consumo_intermedio_por_actividad_economica
C27,Fabricación de equipo eléctrico,Brasil,13359.92,2016,consumo_intermedio_por_actividad_economica
C28,Fabricación de maquinaria y equipo n.c.p.,Brasil,17858.2,2016,consumo_intermedio_por_actividad_economica
C29,"Fabricación de vehículos automotores, remolques y semirremolques",Brasil,48704.62,2016,consumo_intermedio_por_actividad_economica
C30,Fabricación de otro equipo de transporte,Brasil,5630.85,2016,consumo_intermedio_por_actividad_economica
C31,Fabricación de muebles,Brasil,4677.48,2016,consumo_intermedio_por_actividad_economica
C32,Otras industrias manufactureras,Brasil,3324.28,2016,consumo_intermedio_por_actividad_economica
C33,Reparación e instalación de maquinaria y equipo,Brasil,4090.13,2016,consumo_intermedio_por_actividad_economica
CXX,Otras empresas/establecimientos anonimizados,Brasil,-,2016,consumo_intermedio_por_actividad_economica
,,Brasil,,2017,consumo_intermedio_por_actividad_economica
C,Industrias manufactureras,Brasil,580998.01,2017,consumo_intermedio_por_actividad_economica
C10,Elaboración de productos alimenticios,Brasil,147117.66,2017,consumo_intermedio_por_actividad_economica
C11,Elaboración de bebidas,Brasil,16672.05,2017,consumo_intermedio_por_actividad_economica
C12,Elaboración de productos de tabaco,Brasil,2917.68,2017,consumo_intermedio_por_actividad_economica
C13,Fabricación de productos textiles,Brasil,8819.96,2017,consumo_intermedio_por_actividad_economica
