codigo,glosa,anio,pais,valor,variable
C,Industrias manufactureras,2023,Brasil,768089.77,consumo_intermedio
C10,Elaboración de productos alimenticios,2023,Brasil,201405.06,consumo_intermedio
C11,Elaboración de bebidas,2023,Brasil,20950.57,consumo_intermedio
C12,Elaboración de productos de tabaco,2023,Brasil,3703.11,consumo_intermedio
C13,Fabricación de productos textiles,2023,Brasil,9516.41,consumo_intermedio
C14,Fabricación de prendas de vestir,2023,Brasil,6931.3,consumo_intermedio
C15,Fabricación de productos de cuero y productos conexos,2023,Brasil,6326.71,consumo_intermedio
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2023,Brasil,5867.78,consumo_intermedio
C17,Fabricación de papel y de productos de papel,2023,Brasil,23968.51,consumo_intermedio
C18,Impresión y reproducción de grabaciones,2023,Brasil,1921.59,consumo_intermedio
C19,Fabricación de coque y productos de la refinación del petróleo,2023,Brasil,62334.14,consumo_intermedio
C20,Fabricación de sustancias y productos químicos,2023,Brasil,99799.39,consumo_intermedio
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2023,Brasil,11659.53,consumo_intermedio
C22,Fabricación de productos de caucho y de plástico,2023,Brasil,26005.49,consumo_intermedio
C23,Fabricación de otros productos minerales no metálicos,2023,Brasil,20292.82,consumo_intermedio
C24,Fabricación de metales comunes,2023,Brasil,62493.11,consumo_intermedio
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2023,Brasil,19049.38,consumo_intermedio
C26,"Fabricación de productos de informática, de electrónica y de óptica",2023,Brasil,22358.64,consumo_intermedio
C27,Fabricación de equipo eléctrico,2023,Brasil,22580.73,consumo_intermedio
C28,Fabricación de maquinaria y equipo n.c.p.,2023,Brasil,38036.35,consumo_intermedio
C29,"Fabricación de vehículos automotores, remolques y semirremolques",2023,Brasil,76631.89,consumo_intermedio
C30,Fabricación de otro equipo de transporte,2023,Brasil,10019.61,consumo_intermedio
C31,Fabricación de muebles,2023,Brasil,6012.89,consumo_intermedio
C32,Otras industrias manufactureras,2023,Brasil,4684.34,consumo_intermedio
C33,Reparación e instalación de maquinaria y equipo,2023,Brasil,5540.42,consumo_intermedio
C,Industrias manufactureras,2023,Chile,60219.28,consumo_intermedio
C10,Elaboración de productos alimenticios,2023,Chile,24144.65,consumo_intermedio
C11,Elaboración de bebidas,2023,Chile,4015.59,consumo_intermedio
C13,Fabricación de productos textiles,2023,Chile,158.09,consumo_intermedio
C14,Fabricación de prendas de vestir,2023,Chile,64.4,consumo_intermedio
C15,Fabricación de productos de cuero y productos conexos,2023,Chile,25.5,consumo_intermedio
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2023,Chile,2068.8,consumo_intermedio
C17,Fabricación de papel y de productos de papel,2023,Chile,2804.53,consumo_intermedio
C18,Impresión y reproducción de grabaciones,2023,Chile,197.76,consumo_intermedio
C20,Fabricación de sustancias y productos químicos,2023,Chile,12427.37,consumo_intermedio
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2023,Chile,744.69,consumo_intermedio
C22,Fabricación de productos de caucho y de plástico,2023,Chile,2004.2,consumo_intermedio
C23,Fabricación de otros productos minerales no metálicos,2023,Chile,2302.03,consumo_intermedio
C24,Fabricación de metales comunes,2023,Chile,2214.38,consumo_intermedio
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2023,Chile,1477.01,consumo_intermedio
C26,"Fabricación de productos de informática, de electrónica y de óptica",2023,Chile,12.67,consumo_intermedio
C27,Fabricación de equipo eléctrico,2023,Chile,832.13,consumo_intermedio
C28,Fabricación de maquinaria y equipo n.c.p.,2023,Chile,432.91,consumo_intermedio
C29,"Fabricación de vehículos automotores, remolques y semirremolques",2023,Chile,97.9,consumo_intermedio
C30,Fabricación de otro equipo de transporte,2023,Chile,32.04,consumo_intermedio
C31,Fabricación de muebles,2023,Chile,377.37,consumo_intermedio
C32,Otras industrias manufactureras,2023,Chile,81.81,consumo_intermedio
C33,Reparación e instalación de maquinaria y equipo,2023,Chile,664.11,consumo_intermedio
CXX,Otras empresas/establecimientos anonimizados,2023,Chile,3039.34,consumo_intermedio
C,Industrias manufactureras,2023,Ecuador,33604.44,consumo_intermedio
C10,Elaboración de productos alimenticios,2023,Ecuador,15091.41,consumo_intermedio
C11,Elaboración de bebidas,2023,Ecuador,959.58,consumo_intermedio
C13,Fabricación de productos textiles,2023,Ecuador,414.01,consumo_intermedio
C14,Fabricación de prendas de vestir,2023,Ecuador,183.54,consumo_intermedio
C15,Fabricación de productos de cuero y productos conexos,2023,Ecuador,231.16,consumo_intermedio
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2023,Ecuador,408.65,consumo_intermedio
C17,Fabricación de papel y de productos de papel,2023,Ecuador,1516.46,consumo_intermedio
C18,Impresión y reproducción de grabaciones,2023,Ecuador,128.31,consumo_intermedio
C19,Fabricación de coque y productos de la refinación del petróleo,2023,Ecuador,7373.92,consumo_intermedio
C20,Fabricación de sustancias y productos químicos,2023,Ecuador,1285.27,consumo_intermedio
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2023,Ecuador,303.2,consumo_intermedio
C22,Fabricación de productos de caucho y de plástico,2023,Ecuador,1125.53,consumo_intermedio
C23,Fabricación de otros productos minerales no metálicos,2023,Ecuador,732.98,consumo_intermedio
C24,Fabricación de metales comunes,2023,Ecuador,1144.31,consumo_intermedio
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",2023,Ecuador,794.52,consumo_intermedio
C26,"Fabricación de productos de informática, de electrónica y de óptica",2023,Ecuador,218.61,consumo_intermedio
C27,Fabricación de equipo eléctrico,2023,Ecuador,523.03,consumo_intermedio
C28,Fabricación de maquinaria y equipo n.c.p.,2023,Ecuador,65.14,consumo_intermedio
C29,"Fabricación de vehículos automotores, remolques y semirremolques",2023,Ecuador,432.79,consumo_intermedio
C30,Fabricación de otro equipo de transporte,2023,Ecuador,217.85,consumo_intermedio
C31,Fabricación de muebles,2023,Ecuador,183.21,consumo_intermedio
C32,Otras industrias manufactureras,2023,Ecuador,12.37,consumo_intermedio
C33,Reparación e instalación de maquinaria y equipo,2023,Ecuador,258.59,consumo_intermedio
C,Industrias manufactureras,2023,México,423751.91,consumo_intermedio
C10,Elaboración de productos alimenticios,2023,México,65680.79,consumo_intermedio
C11,Elaboración de bebidas,2023,México,19090.21,consumo_intermedio
C12,Elaboración de productos de tabaco,2023,México,395.67,consumo_intermedio
C13,Fabricación de productos textiles,2023,México,13615.05,consumo_intermedio
C14,Fabricación de prendas de vestir,2023,México,3318.57,consumo_intermedio
C15,Fabricación de productos de cuero y productos conexos,2023,México,2643.4,consumo_intermedio
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2023,México,2876.98,consumo_intermedio
C17,Fabricación de papel y de productos de papel,2023,México,13746.57,consumo_intermedio
C18,Impresión y reproducción de grabaciones,2023,México,485.6,consumo_intermedio
C19,Fabricación de coque y productos de la refinación del petróleo,2023,México,16071.07,consumo_intermedio
C20,Fabricación de sustancias y productos químicos,2023,México,34964.9,consumo_intermedio
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2023,México,1202.33,consumo_intermedio
C22,Fabricación de productos de caucho y de plástico,2023,México,18600.2,consumo_intermedio
C23,Fabricación de otros productos minerales no metálicos,2023,México,18901.68,consumo_intermedio
