Código actividad,Descripción,Chile,Ecuador,México,El Salvador,Perú
C,Industrias manufactureras,762630863,-,11401544000,-,-
C10,Elaboración de productos alimenticios,292638071,-,2293842000,-,-
C11,Elaboración de bebidas,37270862,-,395631000,-,-
C12,Elaboración de productos de tabaco,-,-,4778000,-,-
C13,Fabricación de productos textiles,5445286,-,906379000,-,-
C14,Fabricación de prendas de vestir,4445301,-,537928000,-,-
C15,Fabricación de productos de cuero y productos conexos,2246004,-,287911000,-,-
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",40189833,-,236004000,-,-
C17,Fabricación de papel y de productos de papel,31109887,-,264424000,-,-
C18,Impresión y reproducción de grabaciones,6909679,-,24479000,-,-
C19,Fabricación de coque y productos de la refinación del petróleo,-,-,56987000,-,-
C20,Fabricación de sustancias y productos químicos,46427410,-,419055000,-,-
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",20022262,-,187670000,-,-
C22,Fabricación de productos de caucho y de plástico,39921018,-,656952000,-,-
C23,Fabricación de otros productos minerales no metálicos,32921068,-,499960000,-,-
C24,Fabricación de metales comunes,14134686,-,263905000,-,-
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",48303820,-,905483000,-,-
C26,"Fabricación de productos de informática, de electrónica y de óptica",628673,-,803082000,-,-
C27,Fabricación de equipo eléctrico,12774274,-,1050313000,-,-
C28,Fabricación de maquinaria y equipo n.c.p.,12457715,-,1056389000,-,-
C29,"Fabricación de vehículos automotores, remolques y semirremolques",1818642,-,267699000,-,-
C30,Fabricación de otro equipo de transporte,375289,-,53039000,-,-
C31,Fabricación de muebles,18755255,-,209031000,-,-
C32,Otras industrias manufactureras,3618253,-,20603000,-,-
C33,Reparación e instalación de maquinaria y equipo,60831599,-,-,-,-
CXX,Otras empresas/establecimientos anonimizados,29385976,-,-,-,-
