Código actividad,Descripción,Brasil,Chile,Colombia,República Dominicana,Ecuador,México,Perú,Uruguay
C,Industrias manufactureras,228089.19,20194.13,-,-,8723.59,251827.05,-,-
C10,Elaboración de productos alimenticios,50582.77,7485.59,-,-,3932.12,38220.74,-,-
C11,Elaboración de bebidas,9662.86,1677.23,-,-,421.4,17039.37,-,-
C12,Elaboración de productos de tabaco,1196.9,-,-,-,-,671.86,-,-
C13,Fabricación de productos textiles,3819.13,75.91,-,-,206.62,10061.68,-,-
C14,Fabricación de prendas de vestir,4160.37,47.93,-,-,115.96,2816.91,-,-
C15,Fabricación de productos de cuero y productos conexos,3545.42,26.75,-,-,120.57,1864.62,-,-
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",2496.58,983.18,-,-,172.78,1792.01,-,-
C17,Fabricación de papel y de productos de papel,11325.76,917.22,-,-,445.82,5782.33,-,-
C18,Impresión y reproducción de grabaciones,1086.97,73.72,-,-,58.0,346.19,-,-
C19,Fabricación de coque y productos de la refinación del petróleo,41826.34,-,-,-,196.96,13549.55,-,-
C20,Fabricación de sustancias y productos químicos,4298.67,3005.62,-,-,559.6,18667.66,-,-
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",8124.78,594.21,-,-,164.08,2463.84,-,-
C22,Fabricación de productos de caucho y de plástico,9683.44,620.7,-,-,513.91,11690.93,-,-
C23,Fabricación de otros productos minerales no metálicos,9270.72,788.49,-,-,503.88,14817.22,-,-
C24,Fabricación de metales comunes,14642.56,9.57,-,-,370.85,14208.16,-,-
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",8112.9,733.8,-,-,192.34,13999.34,-,-
C26,"Fabricación de productos de informática, de electrónica y de óptica",-14510.87,9.01,-,-,114.05,10216.12,-,-
C27,Fabricación de equipo eléctrico,7788.14,230.05,-,-,185.72,18828.45,-,-
C28,Fabricación de maquinaria y equipo n.c.p.,16175.63,423.84,-,-,50.15,23574.26,-,-
C29,"Fabricación de vehículos automotores, remolques y semirremolques",20967.7,48.66,-,-,72.0,28572.25,-,-
C30,Fabricación de otro equipo de transporte,4343.81,9.55,-,-,81.99,1122.14,-,-
C31,Fabricación de muebles,2522.84,180.59,-,-,104.4,1275.9,-,-
C32,Otras industrias manufactureras,3010.41,79.69,-,-,7.75,245.52,-,-
C33,Reparación e instalación de maquinaria y equipo,3955.36,873.2,-,-,132.64,-,-,-
CXX,Otras empresas/establecimientos anonimizados,-,1299.62,-,-,-,-,-,-
