Código actividad,Descripción,Brasil,Chile,Colombia,República Dominicana,Ecuador,México,Perú,Uruguay
C,Industrias manufactureras,996178.96,80413.39,-,-,42328.01,675578.95,-,-
C10,Elaboración de productos alimenticios,251987.83,31630.24,-,-,19023.53,103901.52,-,-
C11,Elaboración de bebidas,30613.44,5692.82,-,-,1380.98,36129.58,-,-
C12,Elaboración de productos de tabaco,4900.01,-,-,-,-,1067.54,-,-
C13,Fabricación de productos textiles,13335.54,234.0,-,-,620.63,23676.73,-,-
C14,Fabricación de prendas de vestir,11091.67,112.33,-,-,299.49,6135.48,-,-
C15,Fabricación de productos de cuero y productos conexos,9872.12,52.25,-,-,351.73,4508.01,-,-
C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",8364.36,3051.98,-,-,581.42,4668.99,-,-
C17,Fabricación de papel y de productos de papel,35294.27,3721.75,-,-,1962.28,19528.9,-,-
C18,Impresión y reproducción de grabaciones,3008.56,271.48,-,-,186.31,831.79,-,-
C19,Fabricación de coque y productos de la refinación del petróleo,104160.47,-,-,-,7570.88,29620.62,-,-
C20,Fabricación de sustancias y productos químicos,104098.06,15432.99,-,-,1844.88,53632.56,-,-
C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",19784.31,1338.9,-,-,467.28,3666.16,-,-
C22,Fabricación de productos de caucho y de plástico,35688.92,2624.9,-,-,1639.43,30291.13,-,-
C23,Fabricación de otros productos minerales no metálicos,29563.54,3090.52,-,-,1236.86,33718.91,-,-
C24,Fabricación de metales comunes,77135.66,2223.95,-,-,1515.16,49767.45,-,-
C25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",27162.28,2210.81,-,-,986.86,35431.05,-,-
C26,"Fabricación de productos de informática, de electrónica y de óptica",7847.77,21.67,-,-,332.66,15289.34,-,-
C27,Fabricación de equipo eléctrico,30368.87,1062.18,-,-,708.74,43643.06,-,-
C28,Fabricación de maquinaria y equipo n.c.p.,54211.98,856.75,-,-,115.29,57274.4,-,-
C29,"Fabricación de vehículos automotores, remolques y semirremolques",97599.59,146.56,-,-,504.79,117586.25,-,-
C30,Fabricación de otro equipo de transporte,14363.43,41.59,-,-,299.84,1758.16,-,-
C31,Fabricación de muebles,8535.73,557.95,-,-,287.61,2598.32,-,-
C32,Otras industrias manufactureras,7694.76,161.5,-,-,20.12,853.0,-,-
C33,Reparación e instalación de maquinaria y equipo,9495.79,1537.31,-,-,391.24,-,-,-
CXX,Otras empresas/establecimientos anonimizados,-,4338.96,-,-,-,-,-,-
