industria,anio,valor
" Fabricación de muebles, colchones y somieres",2005.0,77.38814993954051
" Fabricación de muebles, colchones y somieres",2006.0,81.46426496223125
" Fabricación de muebles, colchones y somieres",2007.0,85.14316585629389
" Fabricación de muebles, colchones y somieres",2008.0,87.77130757014294
" Fabricación de muebles, colchones y somieres",2009.0,96.2182603997839
" Fabricación de muebles, colchones y somieres",2010.0,91.05648535564853
" Fabricación de muebles, colchones y somieres",2011.0,88.82978723404256
" Fabricación de muebles, colchones y somieres",2012.0,93.94512771996216
" Fabricación de muebles, colchones y somieres",2013.0,98.02298850574712
" Fabricación de muebles, colchones y somieres",2014.0,100.22686025408349
" Fabricación de muebles, colchones y somieres",2015.0,100.0
" Fabricación de muebles, colchones y somieres",2016.0,98.43087362171332
" Fabricación de muebles, colchones y somieres",2017.0,93.48381601362861
" Fabricación de muebles, colchones y somieres",2018.0,96.00509987250318
" Fabricación de muebles, colchones y somieres",2019.0,95.66486035848271
" Fabricación de muebles, colchones y somieres",2020.0,101.59760359460807
" Fabricación de muebles, colchones y somieres",2021.0,109.15633746501399
" Fabricación de muebles, colchones y somieres",2022.0,123.41696535244921
" Fabricación de muebles, colchones y somieres",,134.6103613408794
" Fabricación de muebles, colchones y somieres",,140.58265930486002
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2005.0,62.53393665158371
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2005.0,62.53393665158371
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2006.0,65.2950558213716
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2006.0,65.2950558213716
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2007.0,70.23274398162022
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2007.0,70.23274398162022
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2008.0,75.38726333907057
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2008.0,75.38726333907057
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2009.0,80.30062552516105
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2009.0,80.30062552516105
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2010.0,86.66545388393669
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2010.0,86.66545388393669
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2011.0,90.68206914125541
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2011.0,90.68206914125541
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2012.0,94.47236180904522
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2012.0,94.47236180904522
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2013.0,95.89303501647383
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2013.0,95.89303501647383
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2014.0,100.13464991023339
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2014.0,100.13464991023339
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2015.0,100.0
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2015.0,100.0
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2016.0,101.80556491275348
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2016.0,101.80556491275348
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2017.0,108.5016501650165
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2017.0,108.5016501650165
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2018.0,110.06073920909796
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2018.0,110.06073920909796
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2019.0,113.48507504015063
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2019.0,113.48507504015063
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2020.0,117.3370732871807
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2020.0,117.3370732871807
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2021.0,117.10637936884967
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2021.0,117.10637936884967
"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios",2022.0,126.71569446765835
